"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN2019pnw","2019/09/04","","0.07","330","Ia"
"SN2019qpr","2019/09/22","","0.07","330","Ia"
"SN2019qul","2019/09/20","","0.07","330","Ia"
"SN2019rkh","2019/09/19","","0.07","330","Ia"
"SN2019rnv","2019/09/20","","0.07","330","Ia"
"SN2019rqd","2019/10/02","","0.07","330","Ia"
"SN2019rsx","2019/09/30","","0.07","330","Ia-91T"
"SN2019suc","2019/10/18","","0.07","330","Ia"
"SN2019syf","2019/10/17","","0.07","330","Ia"
"SN2019sys","2019/10/18","","0.07","330","Ia"
"SN2019tbb","2019/10/20","","0.07","330","Ia"
"SN2019tpg","2019/10/27","","0.07","330","Ia"
"SN2019uwp","2019/11/08","","0.07","330","Ia"
"SN2019vcd","2019/11/14","","0.07","330","Ia"
"SN2019vyl","2019/11/25","","0.07","330","Ia"
"SN2019wbm","2019/12/02","","0.07","330","Ia"
"SN2019wce","2019/12/03","","0.07","330","Ia"
"SN2019wfh","2019/12/08","","0.07","330","Ia"
"SNHiTS15bs","2015/02/17","","0.07","330","Ia"
"SN2020abno","2020/11/26","","0.07","330","Ia"
"SN2020abso","2020/12/01","","0.07","330","Ia"
"SN2020acdw","2020/12/10","","0.07","330","Ia"
"SN2020aced","2020/12/10","","0.07","330","Ia-91T"
"SN2020acfj","2020/12/09","","0.07","330","Ia"
"SN2020adcp","2020/12/16","","0.07","330","Ia"
"SN2020agd","2020/01/16","","0.07","330","Ia"
"SN2020akj","2020/01/20","","0.07","330","Ia"
"SN2020anv","2020/01/23","","0.07","330","Ia"
"SN2020bbi","2020/01/24","","0.07","330","Ia"
"SN2020bja","2020/01/27","","0.07","330","Ia"
"SN2020bua","2020/01/26","","0.07","330","Ia"
"SN2020bzg","2020/02/07","","0.07","330","Ia"
"SN2020chi","2020/02/12","","0.07","330","Ia"
"SN2020coy","2020/02/15","","0.07","330","Ia"
"SN2020dro","2020/02/24","","0.07","330","Ia"
"SN2020dsn","2020/02/29","","0.07","330","Ia"
"SN2020dul","2020/03/02","NGC 5804","0.07","330","Ia"
"SN2020dxl","2020/03/01","","0.07","330","Ia"
"SN2020dyc","2020/03/04","","0.07","330","Ia"
"SN2020eei","2020/03/03","","0.07","330","Ia"
"SN2020exu","2020/03/24","","0.07","330","Ia"
"SN2020gar","2020/03/29","","0.07","330","Ia"
"SN2020hsk","2020/04/18","","0.07","330","Ia"
"SN2020ibv","2020/04/24","","0.07","330","Ia"
"SN2020inp","2020/04/29","","0.07","330","Ia-02cx"
"SN2020ith","2020/05/01","","0.07","330","Ia"
"SN2020jki","2020/05/10","","0.07","330","Ia"
"SN2020lsj","2020/06/01","","0.07","330","Ia"
"SN2020lvt","2020/06/07","","0.07","330","Ia"
"SN2020mvm","2020/06/17","","0.07","330","Ia"
"SN2020odj","2020/07/08","","0.07","330","Ia"
"SN2020pnp","2020/07/11","","0.07","330","Ia"
"SN2020qcg","2020/07/20","","0.07","330","Ia"
"SN2020qrm","2020/07/31","","0.07","330","Ia"
"SN2020qys","2020/08/08","","0.07","330","Ia"
"SN2020rak","2020/08/07","","0.07","330","Ia"
"SN2020rll","2020/08/14","","0.07,0.04","330","Ia"
"SN2020rnf","2020/08/16","","0.07","330","Ia"
"SN2020rov","2020/08/18","","0.07","330","Ia"
"SN2020rsj","2020/08/17","","0.07","330","Ia"
"SN2020rxe","2020/08/17","","0.07","330","Ia"
"SN2020sgh","2020/08/30","","0.07","330","Ia"
"SN2020smn","2020/09/04","MCG +05-43-02","0.07","330","Ia"
"SN2020tft","2020/09/12","","0.07","330","Ia"
"SN2020tgf","2020/09/14","","0.07","330","Ia"
"SN2020ti","2020/01/11","","0.07","330","Ia"
"SN2020uhi","2020/09/25","","0.07","330","Ia"
"SN2020uqb","2020/09/30","","0.07","330","Ia"
"SN2020vas","2020/10/07","","0.07","330","Ia"
"SN2020wtp","2020/10/13","","0.07","330","Ia"
"SN2020xcz","2020/10/15","","0.07","330","Ia"
"SN2020xps","2020/10/18","","0.07","330","Ia"
"SN2020yff","2020/10/25","","0.07","330","Ia-91T"
"SN2020ygj","2020/10/23","","0.07","330","Ia"
"SN2020yhb","2020/10/23","","0.07","330","Ia"
"SN2020yii","2020/10/23","","0.07","330","Ia"
"SN2020zn","2020/01/14","","0.07","330","Ia"
"SN2020zu","2020/01/16","","0.07","330","Ia"
"SN2021abi","2021/01/08","","0.07","330","Ia"
"SN2021adt","2021/01/13","","0.07","330","Ia"
"SN2021bnd","2021/02/03","","0.07","330","Ia"
"SN2021bpo","2021/02/03","","0.07","330","Ia"
"SN2021bwr","2021/02/05","","0.07","330","Ia"
"SN2021caf","2021/02/06","","0.07","330","Ia"
"SN2021ccy","2021/02/07","","0.07","330","Ia"
"SN2021cez","2021/02/06","","0.07","330","Ia"
"SN2021dai","2021/02/15","","0.07","330","Ia"
"SN2021dda","2021/02/10","","0.07","330","Ia-91T"
"SN2021dde","2021/02/17","LEDA 2699789","0.07","330","Ia"
"SN2021dgc","2021/02/17","","0.07","330","Ia"
"SN2021dj","2021/01/01","","0.07","330","Ia"
